city,state,population,latitude,longitude,toy store (20),child toy store (20),toy store (20-w/ coords radius),"children’s clothing store (20-w/ coords, radius)","children’s clothing store (20-w/ coords, rankby)"
lexington,MA,30661,42.4472222,-71.225,,,X,X,X
san juan,TX,30647,26.1888889,-98.155,,,X,X,X
franklin,MA,30636,42.0833333,-71.3972222,,,X,X,X
bothell,WA,30615,47.7625,-122.2041667,,,X,X,X
burien,WA,30611,47.4705556,-122.3455556,,,X,X,X
walla walla,WA,30578,46.0647222,-118.3419444,,,X,X,X
copperas cove,TX,30546,31.1238889,-97.9027778,,,X,X,X
jacksonville,AR,30520,34.8661111,-92.11,,,X,X,X
florence,SC,30517,34.1952778,-79.7627778,,,X,X,X
huntington station,NY,30484,40.8533333,-73.4119444,,,X,X,X
banning,CA,30411,33.9255556,-116.8755556,,,X,X,X
algonquin,IL,30394,42.1655556,-88.2941667,,,X,X,X
shakopee,MN,30384,44.7980556,-93.5266667,,,X,X,X
poughkeepsie,NY,30345,41.7002778,-73.9213889,,,X,X,X
rochester,NH,30317,43.3044444,-70.9761111,,,X,X,X
monterey,CA,30307,36.6002778,-121.8936111,,,X,X,X
severna park,MD,30292,39.0702778,-76.5455556,,,X,X,X
newark,DE,30238,39.6836111,-75.75,,,X,X,X
andover,MN,30209,45.2333333,-93.2911111,,,X,X,X
marion,IN,30201,40.5583333,-85.6591667,,,X,X,X
hingham,MA,30151,42.2416667,-70.8902778,,,X,X,X
west warwick,RI,30146,41.7061111,-71.5236111,,,X,X,X
carney,MD,30078,39.3941667,-76.5238889,,,X,X,X
jamestown,NY,30077,42.0969444,-79.2355556,,,X,X,X
vernon,CT,30064,41.8186111,-72.48,,,X,X,X
goshen,IN,30045,41.5822222,-85.8344444,,,X,X,X
grove city,OH,30035,39.8813889,-83.0930556,,,X,X,X
elmira,NY,30026,42.0897222,-76.8080556,,,X,X,X
madison heights,MI,30004,42.4858333,-83.1052778,,,X,X,X
oregon city,OR,29984,45.3575,-122.6055556,,,X,X,X
clinton,MD,29982,38.765,-76.8986111,,,X,X,X
leawood,KS,29978,38.9666667,-94.6166667,,,X,X,X
newington,CT,29945,41.6977778,-72.7241667,,,X,X,X
westfield,NJ,29940,40.6588889,-74.3477778,,,X,X,X
rockwall,TX,29930,32.9311111,-96.4594444,,,X,X,X
tooele,UT,29851,40.5308333,-112.2975,,,X,X,X
marysville,WA,29824,48.0519444,-122.1758333,,,X,X,X
florin,CA,29808,38.4961111,-121.4077778,,,X,X,X
levittown,PR,29786,18.4519444,-66.1819444,,,X,X,X
east saint louis,IL,29773,38.6244444,-90.1508333,,,X,X,X
niles,IL,29765,42.0188889,-87.8027778,,,X,X,X
rosenberg,TX,29753,29.5569444,-95.8083333,,,X,X,X
holladay,UT,29737,40.6688889,-111.8238889,,,X,X,X
shawnee,OK,29721,35.3272222,-96.925,,,X,X,X
atwater,CA,29686,37.3477778,-120.6080556,,,X,X,X
monroe,NC,29681,34.9852778,-80.5497222,,,X,X,X
southgate,MI,29669,42.2138889,-83.1938889,,,X,X,X
northampton,MA,29665,42.325,-72.6416667,,,X,X,X
waimalu,HI,29662,21.4047222,-157.9433333,,,X,X,X
south gate,MD,29658,39.1288889,-76.6261111,,,X,X,X
franklin square,NY,29658,40.7072222,-73.6763889,,,X,X,X
garfield,NJ,29614,40.8813889,-74.1136111,,,X,X,X
salem,NH,29549,42.7883333,-71.2013889,,,X,X,X
pflugerville,TX,29541,30.4391667,-97.6197222,,,X,X,X
cheshire,CT,29443,41.4988889,-72.9011111,,,X,X,X
rexburg,ID,29439,43.8261111,-111.7888889,,,X,X,X
branford,CT,29438,41.2794444,-72.8155556,,,X,X,X
west bend,WI,29431,43.4252778,-88.1833333,,,X,X,X
wheeling,WV,29388,40.0638889,-80.7211111,,,X,X,X
mount vernon,VA,29379,38.7077778,-77.0863889,,,X,X,X
williamsport,PA,29377,41.2411111,-77.0013889,,,X,X,X
san jacinto,CA,29376,33.7838889,-116.9577778,,,X,X,X
lawrenceville,GA,29368,33.9561111,-83.9880556,,,X,X,X
brighton,CO,29328,39.9852778,-104.82,,,X,X,X
tewksbury,MA,29326,42.6105556,-71.2347222,,,X,X,X
